iteration,total_env_steps,mode,avg_episode_reward,success_rate,avg_best_reward,avg_episode_length,num_episodes,timestamp
42,5472000,train,5.1577,0.0554,0.2441,60.0,2400,2025-10-05 14:22:40
43,5616000,train,4.7592,0.0492,0.2318,60.0,2400,2025-10-05 14:27:34
44,5760000,train,4.8997,0.0483,0.2358,60.0,2400,2025-10-05 14:32:28
45,5904000,train,4.8157,0.0521,0.2297,60.0,2400,2025-10-05 14:37:22
46,6048000,train,5.0119,0.055,0.2351,60.0,2400,2025-10-05 14:42:15
47,6192000,train,5.454,0.0658,0.2531,60.0,2400,2025-10-05 14:47:09
48,6336000,train,5.1394,0.0583,0.2394,60.0,2400,2025-10-05 14:52:06
49,6480000,train,5.2566,0.0542,0.2461,60.0,2400,2025-10-05 14:57:03
50,6480000,eval,12.0236,0.2088,0.436,60.0,2400,2025-10-05 14:59:37
51,6624000,train,4.9759,0.05,0.2308,60.0,2400,2025-10-05 15:04:35
52,6768000,train,5.4176,0.0658,0.2479,60.0,2400,2025-10-05 15:09:32
53,6912000,train,5.2359,0.0604,0.2422,60.0,2400,2025-10-05 15:14:29
54,7056000,train,5.1379,0.0612,0.2344,60.0,2400,2025-10-05 15:19:22
55,7200000,train,5.3227,0.0579,0.2454,60.0,2400,2025-10-05 15:24:15
56,7344000,train,5.2055,0.0588,0.2391,60.0,2400,2025-10-05 15:29:08
57,7488000,train,5.1521,0.0546,0.2406,60.0,2400,2025-10-05 15:34:00
58,7632000,train,5.6132,0.0612,0.2553,60.0,2400,2025-10-05 15:38:54
59,7776000,train,5.5531,0.0633,0.2597,60.0,2400,2025-10-05 15:43:47
60,7776000,eval,12.6395,0.2392,0.4506,60.0,2400,2025-10-05 15:46:19
61,7920000,train,5.6967,0.07,0.2638,60.0,2400,2025-10-05 15:51:12
62,8064000,train,4.8491,0.0454,0.2269,60.0,2400,2025-10-05 15:56:05
63,8208000,train,5.5495,0.0725,0.2584,60.0,2400,2025-10-05 16:00:58
64,8352000,train,5.3893,0.0642,0.2485,60.0,2400,2025-10-05 16:05:51
